Unnamed: 0,scrape_id,latitude,neighbourhood_cleansed,property_type,host_since,host_response_time,host_acceptance_rate,host_listings_count,host_has_profile_pic,accommodates,bathrooms_text,beds,price,maximum_nights,maximum_minimum_nights,maximum_maximum_nights,maximum_nights_avg_ntm,availability_30,availability_90,availability_eoy,number_of_reviews_ltm,number_of_reviews_ly,review_scores_rating,review_scores_cleanliness,review_scores_location
6498,20250612050654,41.3832,"Sant Pere, Santa Caterina i la Ribera",Entire rental unit,2011-11-27,within an hour,28%,356.0,t,11,3 baths,1.0,"$1,143.00",1125,1.0,1125.0,1125.0,30,86,185,0,0,5.0,5.0,5.0
6499,20250612050654,41.37196917850239,el Poble Sec,Entire rental unit,2012-09-24,within an hour,100%,3.0,t,4,1.5 baths,3.0,$152.00,3,3.0,1125.0,1125.0,4,36,132,42,48,4.79,4.74,4.76
6500,20250612050654,41.37911,el Raval,Entire rental unit,2019-05-30,within an hour,98%,166.0,t,3,1 bath,3.0,$74.00,360,32.0,360.0,360.0,4,60,161,0,0,,,
6501,20250612050654,41.37807,Sant Antoni,Private room in hostel,2018-10-31,within an hour,100%,6.0,t,3,1 private bath,2.0,$145.00,365,1.0,365.0,365.0,3,26,113,23,30,4.2,4.24,4.64
6502,20250612050654,41.37821,Sant Antoni,Private room in hostel,2018-10-31,within an hour,100%,6.0,t,6,1 private bath,,,365,1.0,365.0,365.0,8,39,127,27,32,4.4,4.51,4.63
6503,20250612050654,41.39544,la Dreta de l'Eixample,Room in boutique hotel,2019-11-15,within an hour,100%,4.0,t,2,1 private bath,1.0,$200.00,1125,2.0,1125.0,1125.0,9,30,80,4,8,4.62,4.8,4.84
6504,20250612050654,41.39504,la Dreta de l'Eixample,Room in boutique hotel,2019-11-15,within an hour,100%,4.0,t,2,1 private bath,2.0,$150.00,1125,2.0,1125.0,1125.0,3,6,25,0,0,4.67,4.78,4.78
6505,20250612050654,41.39517,la Dreta de l'Eixample,Room in boutique hotel,2019-11-15,within an hour,100%,4.0,t,3,1 private bath,2.0,$250.00,1125,2.0,1125.0,1125.0,7,21,93,8,13,4.73,4.65,4.89
6506,20250612050654,41.39507,la Dreta de l'Eixample,Room in boutique hotel,2019-11-15,within an hour,100%,4.0,t,4,1 private bath,3.0,$350.00,1125,2.0,1125.0,1125.0,7,33,106,2,5,4.76,4.7,4.81
6507,20250612050654,41.38168,el Barri Gòtic,Entire rental unit,2017-06-06,within an hour,100%,10.0,t,4,2 baths,3.0,$201.00,180,31.0,180.0,180.0,0,14,117,0,9,4.81,4.81,4.95
6508,20250612050654,41.38148,el Raval,Private room in rental unit,2019-12-27,,,1.0,t,2,1 bath,,,1125,3.0,1125.0,1125.0,0,0,0,0,0,4.0,3.0,5.0
6509,20250612050654,41.37515,Sants,Private room in rental unit,2019-12-28,,,1.0,t,2,1 bath,,,1125,1.0,1125.0,1125.0,0,0,0,0,0,5.0,5.0,5.0
6510,20250612050654,41.39898,el Poblenou,Entire rental unit,2019-12-29,within an hour,100%,4.0,t,3,1 bath,2.0,$128.00,1125,4.0,1125.0,1125.0,19,79,169,37,39,4.48,4.51,4.6
6511,20250612050654,41.40627,la Sagrada Família,Private room in rental unit,2019-12-29,,,1.0,t,2,1 shared bath,,,1125,1.0,1125.0,1125.0,0,0,0,0,0,4.17,3.33,5.0
6512,20250612050654,41.38165730975062,el Barri Gòtic,Entire rental unit,2019-05-30,within an hour,98%,166.0,t,2,1 bath,2.0,$37.00,360,32.0,360.0,360.0,2,45,147,0,0,3.0,4.0,4.5
6513,20250612050654,41.37294,el Poble Sec,Private room in rental unit,2019-12-31,,,1.0,t,2,1 bath,,,1125,1.0,1125.0,1125.0,0,0,0,0,0,,,
6514,20250612050654,41.40712,el Clot,Entire rental unit,2011-02-17,within an hour,93%,113.0,t,6,2 baths,4.0,$105.00,1125,5.0,1125.0,951.9,18,78,177,23,19,4.31,4.29,4.71
6515,20250612050654,41.39736,la Vila de Gràcia,Entire rental unit,2011-10-19,within a few hours,78%,47.0,t,4,1 bath,3.0,$75.00,330,57.0,330.0,330.0,2,2,12,0,0,5.0,4.5,5.0
6516,20250612050654,41.39768,la Vila de Gràcia,Entire rental unit,2011-10-19,within a few hours,78%,47.0,t,4,1 bath,2.0,$77.00,330,57.0,330.0,330.0,8,35,35,3,3,4.5,4.38,5.0
6517,20250612050654,41.39794,la Dreta de l'Eixample,Entire rental unit,2011-10-19,within a few hours,78%,47.0,t,3,1 bath,3.0,$59.00,330,85.0,330.0,330.0,4,4,5,3,2,3.73,3.36,5.0
6518,20250612050654,41.40695,el Clot,Private room in home,2018-12-04,,,1.0,t,2,1 bath,,,1125,31.0,1125.0,1125.0,0,0,0,0,0,,,
6519,20250612050654,41.37796,Sant Antoni,Entire rental unit,2019-09-19,,,1.0,t,4,1.5 baths,,,90,31.0,90.0,90.0,0,0,0,0,0,5.0,5.0,5.0
6520,20250612050654,41.38049,la Barceloneta,Entire rental unit,2018-12-17,within a day,70%,4.0,t,3,1 bath,1.0,$48.00,331,31.0,331.0,331.0,0,3,95,2,4,4.64,4.18,4.91
6521,20250612050654,41.37146,Sants - Badal,Entire rental unit,2019-05-30,within an hour,98%,166.0,t,4,1 bath,4.0,$273.00,360,32.0,360.0,360.0,16,61,156,1,1,2.8,2.6,3.4
